Currency Based Progression System,,,,,,,,,,,,,,,,,,,,,
"In this system, as the player kills enemies they reach kill Checkpoints. When a Checkpoint is reached, the player recieves some amount of Skill Points (SP). At the same time, the Shop window opens.",,,,,,,,,,,,,,,,,,,,,
"In this Shop, the player can upgrade one of three values: Pull Speed, Dice Quantity, and Dice Weight. Each upgrade has a distinct SP cost and each subsequent upgrade costs more SP. There is no limit to how many upgrades the player can purchase if they have the required SP.",,,,,,,,,,,,,,,,,,,,,
"Also in the Shop, the player can spend SP to unlock a new ability. Instead of making a single purchase, the player can contribute SP in their posession to the total cost of an ability.  ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Checkpoints,50 Kills:1 SP,75,Increase,40,,Stat Upgrades,RP Costs,,,,,,,Stat Changes,(+-)50%,1.5,0.5,,,
Additives,Checkpoint #,Total Kill Count,SP Gain,Accumulated SP,Match Mod,,Upgrade #,Pull Force,Dice Quantity,Dice Weight,,,,,Upgrade #,,Pull Force,,Dice Quantity,,Dice Weight
,1,125,2,2,,,0,,,,,,,,0,,60,,100,,1
40,2,165,3,5,,,1,5,5,5,,,,,1,1,61,1,101,0.02,1.02
80,3,245,4,9,,,2,5,5,5,,,,,2,1,62,2,103,0.02,1.04
120,4,365,5,14,,,3,10,10,10,,,,,3,2,64,3,106,0.03,1.07
160,5,525,7,21,,,4,10,10,10,,,,,4,2,66,4,110,0.03,1.1
200,6,725,10,31,,,5,15,15,15,,,,,5,3,69,5,115,0.04,1.14
240,7,965,13,44,,,6,15,15,15,,,,,6,3,72,5,120,0.05,1.19
280,8,1245,17,61,,,7,20,20,20,,,,,7,4,76,6,126,0.06,1.25
320,9,1565,21,82,,,8,20,20,20,,,,,8,4,80,6,132,0.07,1.32
360,10,1925,26,108,,,9,25,25,25,,,,,9,5,85,8,140,0.08,1.4
400,11,2325,31,139,,,10,25,25,25,Unlock Ability 1,Unlock Ability 2,Unlock Ability 3,,10,5,90,10,150,0.1,1.5
440,12,2765,37,176,,,Total Cost Per Skill,150,150,150,75,100,150,,,,90,,150,,0.5
480,13,3245,44,220,,,Total RP Cost,775,,,,,,,,,,,,,
520,14,3765,51,271,,,,0,5,,,,,,,,,,,,
560,15,4325,58,329,,,,0,,,,,,,,,,,,,
600,16,4925,71,400,5,,,5,5,,,,,,,,,,,,
640,17,5565,80,480,5,,,,,,,,,,,,,,,,
680,18,6245,89,569,5,,,,,,,,,,,,,,,,
720,19,6965,98,667,5,,,,,,,,,,,,,,,,
760,20,7725,108,775,5,,,,,,,,,,,,,,,,
Total SP,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Round,Total Enemies,Duration,Total Enemies,Checkpoints reached during round,,,,,,,,,,,,,,,,,
1,300,60,300,1,2,3,3,,,,,,,,,,,,,,
2,360,72,660,4,5,,5,,,,,,,,,,,,,,
3,432,72,1092,6,7,,7,,,,,,,,,,,,,,
4,540,90,1632,8,9,,9,,,,,,,,,,,,,,
5,648,92.57142857,2280,10,,,10,,,,,,,,,,,,,,
6,777.6,111.0857143,3057.6,11,12,,12,,,,,,,,,,,,,,
7,933.12,116.64,3990.72,13,14,,14,,,,,,,,,,,,,,
8,1119.744,139.968,5110.464,15,16,,16,,,,,,,,,,,,,,
9,1343.6928,149.2992,6454.1568,17,18,,18,,,,,,,,,,,,,,
10,1612.43136,161.243136,8066.58816,19,20,,20,,,,,,,,,,,,,,
Total,8066.58816,1064.807479,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Total Time,,,,,,,,,,,,,,,,,,,,,
Round ,Time in Seconds,,,,,,,,,,,,,,,,,,,,
1,60,,,,,,,,,,,,,,,,,,,,
2,73,,,,,,,,,,,,,,,,,,,,
3,73,,,,,,,,,,,,,,,,,,,,
4,90,,,,,,,,,,,,,,,,,,,,
5,94,,,,,,,,,,,,,,,,,,,,
6,113,,,,,,,,,,,,,,,,,,,,
7,118,,,,,,,,,,,,,,,,,,,,
8,140,,,,,,,,,,,,,,,,,,,,
9,150,,,,,,,,,,,,,,,,,,,,
10,163,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Total,1074,,,,,,,,,,,,,,,,,,,,
,17.9,,,,,,,,,,,,,,,,,,,,
